specObjId,ra,dec,run,camcol,field,z,zErr,interval,objID,class,clean,umag,gmag,rmag,imag,zmag,e_umag,e_gmag,e_rmag,e_imag,e_zmag,SDSS16,Z,u_extinction,g_extinction,r_extinction,i_extinction,z_extinction,u,g,r,i,label,u-g,g-r,r-i,i-z
7.918593243188845e+18,357.42422,-4.7119143,7824,4,299,20.3578309412855,0.0005101375,"(2.749, 3.0]",1237679078587957662,6,True,22.831,21.002,20.833,20.861,20.391,0.485,0.037,0.047,0.067,0.193,SDSS J234941.81-044242.8,2.900093,0.1810284870818129,0.1417489384373523,0.096699802251588,0.071721262789152,0.0531690587144976,22.609971512918182,20.860251061562646,20.73630019774841,20.78927873721085,0,1.749720451355536,0.12395086381423681,-0.052978539462440466,0.4314477959253509
7.935581247761571e+18,23.691135,-3.9595857,7865,5,73,20.55020844761499,0.000912883,"(2.749, 3.0]",1237679255203676565,6,True,22.892,20.877,20.603,20.606,20.583,0.399,0.032,0.035,0.052,0.152,SDSS J013445.87-035734.5,2.996569,0.1797431643519465,0.1407425049447848,0.0960132227203158,0.0712120337127583,0.0527915523850078,22.67225683564805,20.736257495055213,20.506986777279685,20.534787966287244,0,1.9359993405928364,0.22927071777552754,-0.027801189007558236,-0.015420481327748092
4.90672851673182e+18,352.9851,-3.4846267,7778,1,270,21.02001337402144,0.000313729,"(2.749, 3.0]",1237678879406948730,6,False,22.389,21.302,21.15,21.327,21.064,0.297,0.046,0.064,0.105,0.264,SDSS J233156.42-032904.6,2.766078,0.2178598300294894,0.1705886191318927,0.1163739631370576,0.0863133884209254,0.0639866259785592,22.13114016997051,21.13141138086811,21.03362603686294,21.24068661157908,0,0.9997287891024023,0.09778534400516747,-0.20706057471613804,0.2206732375576408
8.908288135982766e+18,13.850296,-3.3668079,7778,1,409,21.07353344467969,0.0004110286,"(2.749, 3.0]",1237678879416058391,6,True,22.72,21.82,21.389,21.77,21.114,0.351,0.064,0.063,0.128,0.265,SDSS J005524.07-032200.5,2.875269,0.2058747943510237,0.16120409566853,0.1099719288563308,0.0815650645118595,0.0604665553203113,22.47412520564897,21.65879590433147,21.279028071143667,21.68843493548814,0,0.8153293013175009,0.3797678331878025,-0.40940686434447215,0.6149014908084496
4.271690722770704e+18,194.77388,-2.93808,1140,2,279,19.91866503036909,0.0001360431,"(2.749, 3.0]",1237650369951498758,6,True,22.691,19.879,19.709,20.032,19.941,0.428,0.019,0.021,0.035,0.138,SDSS J125905.73-025617.0,2.963713,0.1441408911165869,0.1128652105011315,0.0769955927491257,0.0571068504028495,0.0423349696309082,22.50685910888341,19.76613478949887,19.632004407250875,19.97489314959715,0,2.7407243193845403,0.13413038224799578,-0.3428887423462754,0.05622811922805937
8.811323573560169e+18,41.718776,-2.8015588,7780,2,180,21.09783051374888,0.0009396466,"(2.749, 3.0]",1237678888527856222,6,True,22.711,22.045,21.79,21.697,21.134,0.359,0.074,0.097,0.127,0.284,SDSS J024652.50-024805.6,2.893431,0.1912442567547275,0.1497480911110511,0.1021567495152093,0.0757686252408606,0.0561694862511179,22.47975574324527,21.89525190888895,21.68784325048479,21.621231374759137,0,0.5845038343563189,0.20740865840416234,0.06661187572565197,0.5234008610102556
4.5329709708232847e+18,219.3084,-2.78538,2379,2,67,21.035215292994984,0.0003974883,"(2.749, 3.0]",1237655691402085451,6,True,23.587,21.346,20.987,21.103,21.125,0.642,0.045,0.045,0.064,0.217,SDSS J143714.01-024707.3,2.965115,0.3737918235595768,0.2926864994578813,0.1996679970326225,0.1480917287555794,0.1097847070050167,23.173208176440426,21.05331350054212,20.78733200296737,20.95490827124442,0,2.119894675898305,0.2659814975747494,-0.16757626827704897,-0.08030702175056348
4.2470165829357614e+18,162.34186,-2.7508829,1140,2,63,19.10836175609065,0.0003953437,"(2.749, 3.0]",1237650369937342735,6,True,20.91,19.374,19.209,19.214,19.145,0.073,0.011,0.013,0.016,0.046,SDSS J104922.04-024503.1,2.900457,0.1928402693930743,0.1509978010371802,0.1030092899579156,0.076400945842413,0.0566382439093476,20.677159730606927,19.223002198962817,19.10599071004208,19.137599054157587,0,1.4541575316441104,0.11701148892073832,-0.03160834411550795,0.029237298066938422
4.5329445825442176e+18,219.93413,-2.5786502,2334,2,161,19.96724228100712,0.0001920312,"(2.749, 3.0]",1237655498134716438,6,True,20.874,20.005,19.852,19.791,20.033,0.088,0.018,0.02,0.025,0.106,SDSS J143944.19-023443.1,2.8319,0.2919854234815686,0.2286304464279602,0.1559695557652953,0.1156810379719917,0.0857577189928836,20.54201457651843,19.77636955357204,19.696030444234705,19.67531896202801,0,0.7656450229463907,0.08033910933733424,0.020711482206696274,-0.29192331897911217
8.866545996131491e+18,17.952409,-2.2722673,7907,4,191,19.87163924273497,0.0005046714,"(2.749, 3.0]",1237679435063165142,6,False,21.227,21.398,21.524,20.735,19.923,0.106,0.048,0.076,0.055,0.096,SDSS J011148.57-021620.1,2.800714,0.2429670608627336,0.1902480847501714,0.1297854670157949,0.0962605648544621,0.071360757265023,20.94403293913727,21.20775191524983,21.394214532984208,20.63873943514554,0,-0.26371897611256045,-0.186462617734378,0.7554750978386693,0.7671001924105667
4.262722561581013e+18,161.96426,-2.084971,1140,4,60,20.4850917756587,0.0005349086,"(2.749, 3.0]",1237650371010888618,6,True,22.475,21.091,20.971,20.834,20.532,0.242,0.035,0.048,0.057,0.179,SDSS J104751.42-020505.8,2.771576,0.2278072043907333,0.1783776128901403,0.121687541950872,0.0902544159471756,0.0669082243413022,22.20719279560927,20.91262238710986,20.849312458049127,20.743745584052824,0,1.2945704084994105,0.06330992906073263,0.10556687399630249,0.25865380839412566
8.81820596614125e+18,35.456667,-1.9568349,7780,4,138,20.108161448780866,0.000386935,"(2.749, 3.0]",1237678889598845173,6,False,21.64,20.79,20.61,20.523,20.127,0.149,0.027,0.038,0.044,0.121,SDSS J022149.59-015724.6,2.764171,0.1322363859289503,0.1035437440282508,0.0706365753585245,0.0523904316849963,0.038838551219134,21.46776361407105,20.68645625597175,20.53936342464148,20.470609568315,0,0.7813073580993013,0.1470928313302693,0.0687538563264809,0.3624481195341325
8.859953050070309e+18,11.026146,-1.9276705,7907,5,145,20.54567875474535,0.0008276388,"(2.749, 3.0]",1237679435597021315,6,True,22.812,21.042,20.804,20.625,20.561,0.345,0.038,0.044,0.054,0.156,SDSS J004406.27-015539.6,2.900277,0.1202607634005605,0.0941665912503096,0.0642395692905702,0.0476458371503573,0.0353212452546486,22.65173923659944,20.94783340874969,20.739760430709428,20.57735416284964,0,1.7039058278497485,0.20807297804026348,0.16240626785978662,0.03167540810429159
4.896798826718058e+18,30.238162,-1.8380985,7780,5,104,19.94869093167658,0.0002110895,"(2.749, 3.0]",1237678890133487932,6,True,21.175,20.252,20.082,20.149,19.963,0.1,0.02,0.028,0.042,0.101,SDSS J020057.15-015017.1,2.910319,0.1168145323979878,0.0914681232130454,0.0623986995919163,0.0462804827613769,0.0343090683234196,21.01818546760201,20.160531876786955,20.019601300408084,20.102719517238626,0,0.8576535908150547,0.14093057637887085,-0.08311821683054177,0.15402858556204535
1.04033493530541e+19,338.19801,-1.807022,8038,5,74,20.61908428375966,0.0001691866,"(2.749, 3.0]",1237679998233084251,6,True,21.635,21.009,20.886,20.825,20.69,0.138,0.034,0.041,0.062,0.185,SDSS J223247.52-014825.2,2.807186,0.3095472246617199,0.2423816891989902,0.1653505251844059,0.122638807866645,0.0909157162403434,21.28545277533828,20.76661831080101,20.720649474815595,20.70236119213336,0,0.5188344645372673,0.045968835985416234,0.018288282682235035,0.08327690837370127
4.249359091905092e+18,170.60602,-1.7896279,1140,5,118,19.606543079499595,0.0008738941,"(2.749, 3.0]",1237650371551559813,6,True,21.068,20.031,19.79,19.747,19.694,0.075,0.017,0.018,0.025,0.079,SDSS J112225.44-014722.6,2.753028,0.3658662427919678,0.2864806106587315,0.1954343976400008,0.1449517110149824,0.107456920500404,20.66213375720804,19.744519389341267,19.59456560236,19.602048288985017,0,0.9176143678667721,0.1499537869812677,-0.00748268662501772,-0.0044947905145775735
1.0335792060209322e+19,323.82652,-1.722465,4822,3,195,18.82571535422916,0.0001933955,"(2.749, 3.0]",1237666184552448283,6,True,21.617,19.824,19.494,19.16,18.883,0.145,0.015,0.015,0.015,0.044,SDSS J213518.36-014320.8,2.767447,0.2631365466459751,0.2060411968989222,0.1405593806588682,0.1042514673555042,0.0772846457708455,21.313863453354028,19.61795880310108,19.35344061934113,19.055748532644497,0,1.695904650252949,0.2645181837599502,0.2976920866966317,0.23003317841533644
4.536426191029295e+18,217.17936,-1.3683566,2334,5,142,19.979788436066773,0.0005966303,"(2.749, 3.0]",1237655499744084843,6,True,25.697,21.243,20.812,20.252,20.024,0.602,0.044,0.04,0.04,0.105,SDSS J142843.04-012206.0,2.938068,0.2186256923299609,0.1711883046832167,0.1167830630207353,0.0866168136563558,0.064211563933228,25.43837430767004,21.071811695316786,20.695216936979264,20.165383186343643,0,4.366562612353253,0.37659475833752154,0.5298337506356212,0.18559475027687
4.563432395177744e+18,197.4946,-1.1911832,752,1,360,19.52119013401285,0.0002487917,"(2.749, 3.0]",1237648702972625102,6,True,21.174,19.846,19.643,19.639,19.536,0.08,0.015,0.016,0.021,0.072,SDSS J130958.70-011128.2,2.961194,0.118519633928664,0.0928032519311683,0.063309511936941,0.0469560230419989,0.0348098659871471,21.015480366071337,19.75319674806883,19.57969048806306,19.592043976958,0,1.262283618002506,0.17350626000576952,-0.012353488894937925,0.07085384294514796
7.634740572750894e+18,39.844119,-1.122482,3388,1,586,25.05408490069851,0.0006755461,"(2.749, 3.0]",1237660239235449713,6,False,27.434,27.953,21.674,21.131,25.077,7.865,7.484,0.074,0.072,6.484,SDSS J023922.58-010720.9,2.758991,0.1461160999902467,0.1144118386895822,0.0780506880579771,0.0578894038947052,0.0429150993014918,27.24788390000976,27.83858816131042,21.59594931194202,21.07311059610529,0,-0.5907042613006581,6.242638849368397,0.5228387158367305,-3.980974304593218
